Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,examples\MvcWeb\MvcWeb.csproj,File,examples\MvcWeb\MvcWeb.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 8.0.0,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Http\SitemapMiddleware.cs,118,20,T:System.Uri,,,,,"urls.Add(new Url                      {                          ChangeFrequency = ChangeFrequency.Daily,                          // If the Permalink contains an absolute Uri (e.g. redirection), don't prefix with the baseUrl                          Location = Uri.IsWellFormedUriString(post.Permalink, UriKind.Absolute) ? item.Permalink : baseUrl + post.Permalink,                          Priority = post.MetaPriority,                          TimeStamp = post.LastModified                      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Http\SitemapMiddleware.cs,103,12,T:System.Uri,,,,,"urls.Add(new Url              {                  ChangeFrequency = ChangeFrequency.Daily,                  // If the Permalink contains an absolute Uri (e.g. redirection), don't prefix with the baseUrl                  Location = Uri.IsWellFormedUriString(item.Permalink, UriKind.Absolute) ? item.Permalink : baseUrl + item.Permalink,                  Priority = item.MetaPriority,                  TimeStamp = item.LastModified              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Http\RoutingMiddleware.cs,496,12,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"headers.CacheControl = new CacheControlHeaderValue              {                  Public = true,                  MaxAge = TimeSpan.FromMinutes(expires),              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,core\Piranha.AspNetCore\Piranha.AspNetCore.csproj,File,core\Piranha.AspNetCore\Extensions\PiranhaStartupExtensions.cs,36,12,M:Microsoft.Extensions.DependencyInjection.RazorRuntimeCompilationMvcBuilderExtensions.AddRazorRuntimeCompilation(Microsoft.Extensions.DependencyInjection.IMvcBuilder),,,,,mvcBuilder.AddRazorRuntimeCompilation();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.AspNetCore.Hosting\Piranha.AspNetCore.Hosting.csproj,File,core\Piranha.AspNetCore.Hosting\Piranha.AspNetCore.Hosting.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity\Piranha.AspNetCore.Identity.csproj,File,identity\Piranha.AspNetCore.Identity\Piranha.AspNetCore.Identity.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity\Piranha.AspNetCore.Identity.csproj,File,identity\Piranha.AspNetCore.Identity\Piranha.AspNetCore.Identity.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
